Date,Open,High,Low,Close
2017-02-21,202.32,203.32,202.31,203.15
2017-02-22,202.75,203.19,202.58,202.97
2017-02-23,203.49,203.50,202.35,203.11
2017-02-24,202.27,203.41,202.22,203.37
2017-02-27,203.28,203.86,203.03,203.68
2017-02-28,203.31,203.55,202.75,203.13
2017-03-01,204.78,206.44,204.77,205.98
2017-03-02,205.79,205.80,204.63,204.68
2017-03-03,204.59,204.97,204.22,204.81
2017-03-06,204.02,204.55,203.60,204.20
2017-03-07,203.90,204.25,203.38,203.59
2017-03-08,203.88,204.14,203.07,203.21
2017-03-09,203.33,203.80,202.51,203.47
2017-03-10,204.42,204.47,203.24,204.18
2017-03-13,204.12,204.33,203.80,204.29
2017-03-14,203.74,203.80,202.89,203.50
2017-03-15,204.07,205.69,203.84,205.26
2017-03-16,205.40,205.48,204.53,204.86
2017-03-17,205.12,205.31,204.50,204.50
2017-03-20,204.50,204.79,203.89,204.28
2017-03-21,204.88,205.00,201.52,201.65
2017-03-22,201.69,202.41,201.07,202.13
2017-03-23,202.13,203.04,201.54,201.91
2017-03-24,202.22,202.78,200.99,201.77
2017-03-27,200.10,201.82,199.83,201.56
2017-03-28,201.26,203.45,201.15,203.03
2017-03-29,202.74,203.45,202.52,203.22
2017-03-30,203.16,204.06,202.98,203.86
2017-03-31,203.53,204.05,203.34,203.39
2017-04-03,203.44,203.64,201.81,203.03
2017-04-04,202.75,203.25,202.37,203.16
2017-04-05,203.84,204.81,202.35,202.56
2017-04-06,202.70,203.65,202.26,203.13
2017-04-07,202.88,203.61,202.44,202.92
2017-04-10,203.06,203.84,202.52,203.04
2017-04-11,202.66,202.91,201.32,202.80
2017-04-12,202.53,202.72,201.69,201.91
2017-04-13,201.58,202.31,200.60,200.60
2017-04-17,201.12,202.38,200.92,202.38
2017-04-18,201.65,202.31,201.09,201.78
2017-04-19,202.34,202.71,201.18,201.40
2017-04-20,202.02,203.48,201.70,203.04
2017-04-21,202.97,203.02,202.00,202.40
2017-04-24,204.63,204.83,202.37,204.62
2017-04-25,205.26,206.16,205.17,205.81
2017-04-26,205.78,206.66,205.64,205.68
2017-04-27,206.00,206.16,205.32,205.86
2017-04-28,206.11,206.14,205.28,205.41
2017-05-01,205.93,206.35,205.51,205.93
2017-05-02,206.06,206.18,205.60,206.00
2017-05-03,206.00,206.10,205.08,205.75
2017-05-04,206.05,206.13,205.15,205.99
2017-05-05,206.37,206.82,205.92,206.81
2017-05-08,206.85,206.99,206.35,206.77
2017-05-09,207.03,207.23,206.24,206.58
2017-05-10,206.54,206.95,206.33,206.95
2017-05-11,206.50,206.69,205.45,206.53
2017-05-12,206.28,206.57,205.92,206.18
2017-05-15,206.61,207.44,206.59,207.32
2017-05-16,207.62,207.64,206.74,207.13
2017-05-17,207.13,207.13,203.40,203.46
2017-05-18,203.38,205.12,203.12,204.28
2017-05-19,204.76,206.27,204.71,205.61
2017-05-22,206.11,206.81,206.05,206.65
2017-05-23,207.02,207.27,206.64,207.11
2017-05-24,207.34,207.69,207.00,207.59
2017-05-25,208.10,208.86,207.89,208.58
2017-05-26,208.39,208.70,208.31,208.54
2017-05-30,208.22,208.61,208.06,208.36
2017-05-31,208.65,208.69,207.62,208.31
2017-06-01,208.76,209.98,208.48,209.96
2017-06-02,210.01,210.82,209.72,210.66
2017-06-05,210.49,210.77,210.31,210.51
2017-06-06,209.95,210.50,209.76,209.83
2017-06-07,210.17,210.45,209.51,210.22
2017-06-08,210.32,210.80,209.80,210.33
